0	 1.00 	2
1	 1.00 	2
1	 2.00 	2
2	 1.00 	2
2	 2.00 	2
2	 3.00 	2
3	 1.00 	2
3	 2.00 	2
3	 3.00 	2
4	 1.00 	2
4	 2.00 	2
4	 3.00 	2
5	 1.00 	2
5	 2.00 	2
6	 1.00 	2
7	 1.00 	2
8	 1.00 	2
9	 1.00 	2
10	 1.00 	2
11	 1.00 	2
12	 1.00 	2
13	 1.00 	2
14	 1.00 	2
15	 1.00 	2
16	 1.00 	2
17	 1.00 	2
18	 1.00 	2
19	 1.00 	2
20	 1.00 	2
21	 1.00 	2
22	 1.00 	2
23	 1.00 	2
24	 1.00 	2
25	 1.00 	2
26	 1.00 	2
27	 1.00 	2
28	 1.00 	2
29	 1.00 	2
30	 1.00 	2
31	 1.00 	2
32	 1.00 	2
33	 1.00 	2
34	 1.00 	2
35	 1.00 	2
36	 1.00 	2
37	 1.00 	2
38	 1.00 	2
39	 1.00 	2
40	 1.00 	2
41	 1.00 	2
42	 1.00 	2
43	 1.00 	2
