0	 1.00 	4
1	 1.00 	4
1	 2.00 	4
2	 1.00 	4
2	 2.00 	4
2	 3.00 	4
3	 1.00 	4
3	 2.00 	4
3	 3.00 	4
4	 1.00 	4
4	 2.00 	4
4	 3.00 	4
5	 1.00 	4
5	 2.00 	4
6	 1.00 	4
7	 1.00 	4
8	 1.00 	4
9	 1.00 	4
10	 1.00 	4
11	 1.00 	4
12	 1.00 	4
13	 1.00 	4
14	 1.00 	4
15	 1.00 	4
16	 1.00 	4
17	 1.00 	4
18	 1.00 	4
19	 1.00 	4
20	 1.00 	4
21	 1.00 	4
22	 1.00 	4
23	 1.00 	4
24	 1.00 	4
25	 1.00 	4
26	 1.00 	4
27	 1.00 	4
28	 1.00 	4
29	 1.00 	4
30	 1.00 	4
31	 1.00 	4
32	 1.00 	4
33	 1.00 	4
34	 1.00 	4
35	 1.00 	4
36	 1.00 	4
37	 1.00 	4
38	 1.00 	4
39	 1.00 	4
40	 1.00 	4
41	 1.00 	4
42	 1.00 	4
43	 1.00 	4
